"","species","treatment","outstrength","type","post.draw"
"461","ACAM","C",-0.0993907858561457,"net_facil",10
"462","ACAM","D",-0.105789576946964,"net_facil",10
"463","ACAM","C",0.00545577152696435,"net_comp",10
"464","ACAM","D",0.113250986903472,"net_comp",10
"465","ACAM","C",0.14964463638987,"abs_value",2970
"466","ACAM","D",0.753483171036821,"abs_value",2970
"467","ACAM","C",-0.00355153880582452,"net_value",2970
"468","ACAM","D",0.693993128534686,"net_value",2970
"469","ACAM","C",-0.0765980875978473,"net_facil",2970
"470","ACAM","D",-0.0297450212510674,"net_facil",2970
"471","ACAM","C",0.0730465487920228,"net_comp",2970
"472","ACAM","D",0.723738149785753,"net_comp",2970
"473","ACAM","C",0.310794455729896,"abs_value",3454
"474","ACAM","D",0.915696715950811,"abs_value",3454
"475","ACAM","C",0.30458554966827,"net_value",3454
"476","ACAM","D",-0.518498338783987,"net_value",3454
"477","ACAM","C",-0.00310445303081302,"net_facil",3454
"478","ACAM","D",-0.717097527367399,"net_facil",3454
"479","ACAM","C",0.307690002699083,"net_comp",3454
"480","ACAM","D",0.198599188583412,"net_comp",3454
"481","ACAM","C",0.13114362476489,"abs_value",1739
"482","ACAM","D",0.915615383747939,"abs_value",1739
"483","ACAM","C",0.118229269194083,"net_value",1739
"484","ACAM","D",-0.586494303593963,"net_value",1739
"485","ACAM","C",-0.00645717778540376,"net_facil",1739
"486","ACAM","D",-0.751054843670951,"net_facil",1739
"487","ACAM","C",0.124686446979487,"net_comp",1739
"488","ACAM","D",0.164560540076988,"net_comp",1739
"489","ACAM","C",0.239214068362351,"abs_value",3000
"490","ACAM","D",0.82516614007031,"abs_value",3000
"491","ACAM","C",0.108838602033723,"net_value",3000
"492","ACAM","D",0.762170190780004,"net_value",3000
"493","ACAM","C",-0.0651877331643142,"net_facil",3000
"494","ACAM","D",-0.031497974645153,"net_facil",3000
"495","ACAM","C",0.174026335198037,"net_comp",3000
"496","ACAM","D",0.793668165425157,"net_comp",3000
"497","ACAM","C",0.218344070071633,"abs_value",204
"498","ACAM","D",0.205499001981531,"abs_value",204
"499","ACAM","C",-0.190928028057338,"net_value",204
"500","ACAM","D",-0.0411345208279325,"net_value",204
"501","ACAM","C",-0.204636049064486,"net_facil",204
"502","ACAM","D",-0.123316761404732,"net_facil",204
"503","ACAM","C",0.0137080210071474,"net_comp",204
"504","ACAM","D",0.0821822405767993,"net_comp",204
"505","ACAM","C",0.314834903159251,"abs_value",1172
"506","ACAM","D",0.268649304917976,"abs_value",1172
"507","ACAM","C",-0.277708791860939,"net_value",1172
"508","ACAM","D",0.112159663197542,"net_value",1172
"509","ACAM","C",-0.296271847510095,"net_facil",1172
"510","ACAM","D",-0.0782448208602169,"net_facil",1172
"511","ACAM","C",0.0185630556491557,"net_comp",1172
