"","species","treatment","parameter_type","mean_parameter","median_parameter","hdi_lo","hdi_hi"
"67","AMME","D","alpha_amme",-0.341065806224054,-0.319048587445464,-0.958888085146537,0.176359947498829
"68","AMME","D","alpha_anar",0.0312034333812904,0.032459856347129,0.00719678602477064,0.0516280324724998
"69","AMME","D","alpha_brho",0.0256732115921961,0.0267164359087316,-0.00514711851478573,0.0533050018663347
"70","AMME","D","alpha_brni",0.0384673739819733,0.039618780481611,0.0101442840555975,0.0636657431512018
"71","AMME","D","alpha_ceso",0.0545783533169742,0.0577190413302727,-0.00778853668324831,0.114570915811557
"72","AMME","D","alpha_gitr",0.0328289058292052,0.03348145037357,0.0153968412381119,0.0475737371431975
"73","AMME","D","alpha_leni",0.0192337138928707,0.0202478747791841,-0.0110923126674682,0.0521421572467279
"74","AMME","D","alpha_mael",0.0790276459500379,0.0921743628755775,-0.245269566005567,0.365310752230545
"75","AMME","D","alpha_pler",0.00942773774682051,0.010225363127275,-0.0154951785052325,0.0351856729909239
"76","AMME","D","alpha_taca",0.0079644278911474,0.0094905843004559,-0.0494304732034609,0.05777355053507
"77","AMME","D","alpha_thir",0.0226072147584776,0.0241327353377149,-0.0469749260366782,0.0853937539292177
"78","AMME","D","alpha_twil",-0.120816513328949,-0.118270719797392,-0.230838195578376,-0.0203209724699286
"79","ANAR","C","alpha_acam",-0.152768940655156,-0.143656691185291,-0.424719115911342,0.101857326684702
"80","ANAR","C","alpha_amme",0.154988127630957,0.162891402399042,-0.0939231947699524,0.392545520221417
"81","ANAR","C","alpha_anar",0.0479661342013299,0.0489637549874647,0.0158321814829009,0.0793708347126852
"82","ANAR","C","alpha_brho",0.0823075641148112,0.0848229781655152,0.0140189733468349,0.145071826680882
"83","ANAR","C","alpha_brni",0.0283485568167011,0.0297550390160538,-0.0171124168172177,0.0714890065573887
"84","ANAR","C","alpha_ceso",0.312492218983466,0.317440756321403,0.167271120596161,0.444152508068477
"85","ANAR","C","alpha_gitr",0.0486117549016212,0.0494070898833487,0.0282148289296707,0.0674710288478594
"86","ANAR","C","alpha_leni",-0.00135810437842067,-0.000382506123719581,-0.0361880652871553,0.0345238694544898
"87","ANAR","C","alpha_lomu",0.169745289160608,0.17144569002879,0.112226769966584,0.221633053299179
"88","ANAR","C","alpha_mael",0.173737597168726,0.182782151416875,-0.0664811895615899,0.398758155100394
"89","ANAR","C","alpha_mica",0.0509236859836244,0.05172655148427,0.0252903681728731,0.0737643832973313
"90","ANAR","C","alpha_pler",0.0612327117922942,0.0629257828099791,0.0182414944416592,0.0987083670443258
"91","ANAR","C","alpha_plno",0.194230357343822,0.203555985699011,-0.0287294517389804,0.385829494251185
"92","ANAR","C","alpha_taca",0.0423926824329841,0.0450783766763968,-0.0277379200646602,0.108871708987539
"93","ANAR","C","alpha_thir",-0.151025869493382,-0.146522339842256,-0.30484519994663,0.00603299943775838
"94","ANAR","C","alpha_twil",-0.021390173322578,-0.0190848435077512,-0.1061863451812,0.0572014063004009
"95","ANAR","D","alpha_acam",0.303506552303442,0.315391770860001,-0.158175587439606,0.714344120769624
"96","ANAR","D","alpha_amme",0.151147895893267,0.16026694480441,-0.248851470962709,0.538262650413702
"97","ANAR","D","alpha_anar",0.014201137894138,0.0147408309786579,-0.00820641723976935,0.034878005017247
"98","ANAR","D","alpha_brho",0.0359546747535048,0.0373209838605529,-0.000251074964798031,0.0684327312746312
"99","ANAR","D","alpha_brni",0.120797134415339,0.122753577808928,0.0666842085770979,0.171584253433349
"100","ANAR","D","alpha_ceso",0.143553205296165,0.146433460494594,0.0671170261239966,0.212662920493551
"101","ANAR","D","alpha_gitr",0.0486846289558596,0.0494293993815491,0.0289644370753061,0.0662885442392386
"102","ANAR","D","alpha_leni",0.073255741047982,0.0764455917633502,0.00215486836497288,0.147419770031239
"103","ANAR","D","alpha_lomu",0.189664817563924,0.191683362520563,0.0912057808755026,0.27995783261986
"104","ANAR","D","alpha_mael",0.0487982932563329,0.0655173253040563,-0.340400347557808,0.377638887871934
"105","ANAR","D","alpha_mica",0.0488256498047214,0.0494347683595122,0.0218810399816415,0.0726901962766786
"106","ANAR","D","alpha_pler",0.115991705948095,0.117321031984578,0.0728287336316865,0.157573176329927
"107","ANAR","D","alpha_plno",-0.0574741083665644,-0.0293729387195061,-0.652158941851932,0.483523150441289
"108","ANAR","D","alpha_taca",0.110364886518661,0.11448915073783,-0.00510795102981764,0.225802142910554
"109","ANAR","D","alpha_thir",0.0498803007507297,0.0544568453015052,-0.0514660885315046,0.153582755842737
"110","ANAR","D","alpha_twil",0.134228353034777,0.137715478458645,-0.00179873389752488,0.268150181219385
"111","BRHO","C","alpha_acam",-0.101684580970205,-0.0973858650251247,-0.286592280420751,0.0685658774919163
