"","ACAM","AMME","GITR","LENI","MAEL","MICA","PLER","PLNO","TWIL","feasibility","niche_diff","fitness_diff","draw"
"87",0,0,1,1,0,1,1,0,0,0,-2.62973527464831,40.6495927962915,1778
"88",0,0,1,1,0,1,1,0,0,0,-2.13733668866533,32.8205845235708,3353
"89",0,0,1,1,0,1,1,0,0,0,-3.17253083321336,52.9908456688558,662
"90",0,0,1,1,0,1,1,0,0,0,-2.08558335402877,47.3497674339911,1927
"91",0,0,1,1,0,1,1,0,0,0,-2.55009030783929,38.8557287440746,3408
"92",0,0,1,1,0,1,1,0,0,0,-2.34231151306428,46.9119220259965,3532
"93",0,0,1,1,0,1,1,0,0,0,-2.46336325947386,60.7113212558557,1035
"94",0,0,1,1,0,1,1,0,0,0,-2.42858362242763,43.0153887192708,2778
"95",0,0,1,1,0,1,1,0,0,0,-2.68244837806199,53.4910437760065,3732
"96",0,0,1,1,0,1,1,0,0,0,-5.02881969416299,44.9310878936272,314
"97",0,0,1,1,0,1,1,0,0,0,-3.89155116502936,42.0618980871733,2052
"98",0,0,1,1,0,1,1,0,0,0,-2.87191805432705,47.0123248304013,2683
"99",0,0,1,1,0,1,1,0,0,0,-2.38378847425114,36.8548946225203,3161
"100",0,0,1,1,0,1,1,0,0,0,-2.65730440601189,28.8639273859321,2321
"101",0,0,1,1,0,1,1,0,0,0,-2.3699682688326,43.8338961955471,2083
"102",0,0,1,1,0,1,1,0,0,0,-2.50774139154375,35.0045404209249,2963
"103",0,0,1,1,0,1,1,0,0,0,-4.34677583628774,44.0934751638427,2373
"104",0,0,1,1,0,1,1,0,0,0,-2.01606951882906,39.0005389000695,1150
"105",0,0,1,1,0,1,1,0,0,0,-3.86832296159675,33.1790113889013,2553
"106",0,0,1,1,0,1,1,0,0,0,-3.21554869070592,41.628107790379,3404
"107",0,0,1,1,0,1,1,0,0,0,-3.52018675055758,58.837829067799,2197
"108",0,0,1,1,0,1,1,0,0,0,-3.08396732554488,33.5001916777308,336
"109",0,0,1,1,0,1,1,0,0,0,-3.48555553233393,42.037647421282,2913
"110",0,0,1,1,0,1,1,0,0,0,-2.99856461321618,37.1909024750631,902
"111",0,0,1,1,0,1,1,0,0,0,-2.57252923975353,34.4049914007904,3508
"112",0,0,1,1,0,1,1,0,0,0,-4.42815874259376,35.2222771551103,2319
"113",0,0,1,1,0,1,1,0,0,0,-3.21771779031616,28.5344657175146,584
"114",0,0,1,1,0,1,1,0,0,0,-3.5962378060083,38.9434151873758,2420
"115",0,0,1,1,0,1,1,0,0,0,-2.35355931025809,37.5949160503727,360
"116",0,0,1,1,0,1,1,0,0,0,-2.43618481587081,39.5933425790885,1338
"117",0,0,1,1,0,1,1,0,0,0,-2.3119786954498,56.2985427466643,3398
"118",0,0,1,1,0,1,1,0,0,0,-5.88464523235169,57.5727198845741,3605
"119",0,0,1,1,0,1,1,0,0,0,-3.05709196341692,36.3193800321522,2061
"120",0,0,1,1,0,1,1,0,0,0,-2.97616137522948,45.6153928509315,3637
"121",0,0,1,1,0,1,1,0,0,0,-11.1243333396417,32.0404561829342,1750
"122",0,0,1,1,0,1,1,0,0,0,-2.55364150441236,47.2982644162528,766
"123",0,0,1,1,0,1,1,0,0,0,-2.27686235955587,40.179490795645,435
"124",0,0,1,1,0,1,1,0,0,0,-2.40584510354595,47.77866945096,1829
"125",0,0,1,1,0,1,1,0,0,0,-2.76392603012283,45.0000847267964,1911
"126",0,0,1,1,0,1,1,0,0,0,-2.41064661288514,42.2031673480788,144
"127",0,0,1,1,0,1,1,0,0,0,-2.34655486397028,38.5972250303644,3555
"128",0,0,1,1,0,1,1,0,0,0,-2.40883215788286,45.1753739784966,1855
"129",0,0,1,1,0,1,1,0,0,0,-3.22698344528725,39.9809419872707,1334
"130",0,0,1,1,0,1,1,0,0,0,-2.78321872479679,48.109696198878,3022
"131",0,0,1,1,0,1,1,0,0,0,-2.1764774914985,41.3446622559922,472
"132",0,0,1,1,0,1,1,0,0,0,-3.54209499155897,33.3031114461334,953
"133",0,0,1,1,0,1,1,0,0,0,-3.34497362872204,51.5895388559396,1695
"134",0,0,1,1,0,1,1,0,0,0,-2.533566942419,25.0061709660766,2151
"135",0,0,1,1,0,1,1,0,0,0,-2.79634003290088,54.4736956664946,1614
"136",0,0,1,1,0,1,1,0,0,0,-1.92622216475855,37.5430400734896,3195
"137",0,0,1,1,0,1,1,0,0,0,-2.52483468776761,35.1060273439109,244
"138",0,0,1,1,0,1,1,0,0,0,-2.98243426199,38.2732629530482,1993
