"","ANAR","BRHO","BRNI","CESO","LOMU","TACA","THIR","feasibility","niche_diff","fitness_diff","draw"
"172",1,1,1,1,0,0,0,0,-1.30455995313588,44.7681749616146,68
"173",1,1,1,1,0,0,0,0,-1.93919886535886,40.880573247199,3550
"174",1,1,1,1,0,0,0,0,-0.85778169474591,47.9318682735989,2397
"175",1,1,1,1,0,0,0,0,-2.05166077924372,44.8656195559307,1007
"176",1,1,1,1,0,0,0,0,-1.16386091491511,49.2504396450361,636
"177",1,1,1,1,0,0,0,0,-1.49394286586089,31.4856768596475,3544
"178",1,1,1,1,0,0,0,0,-1.79677982551301,43.3436653594052,1133
"179",1,1,1,1,0,0,0,0,-3.66486264849915,16.8325825805903,102
"180",1,1,1,1,0,0,0,0,-1.85205690530846,46.6490470494218,757
"181",1,1,1,1,0,0,0,0,-2.01611665260502,49.7220245495927,1959
"182",1,1,1,1,0,0,0,0,-1.39724941516416,21.6922540507578,990
"183",1,1,1,1,0,0,0,0,-1.47436069941098,41.5198382337038,1858
"184",1,1,1,1,0,0,0,0,-2.05047018555232,32.5492296448113,3720
"185",1,1,1,1,0,0,0,0,-2.05323390420914,51.6507559527019,2353
"186",1,1,1,1,0,0,0,0,-1.37433225382642,38.250296669314,2460
"187",1,1,1,1,0,0,0,0,-1.5434125471074,36.594285230044,2332
"188",1,1,1,1,0,0,0,0,-0.901864954370584,24.1222014410617,1585
"189",1,1,1,1,0,0,0,0,-2.17730972108991,32.7595394456936,2956
"190",1,1,1,1,0,0,0,0,-1.2656261509205,46.0606263324122,3640
"191",1,1,1,1,0,0,0,0,-0.689768124926833,59.9695089352415,872
"192",1,1,1,1,0,0,0,0,-2.70048496008173,21.2864911298288,668
"193",1,1,1,1,0,0,0,0,-1.77239897901101,24.709403741861,1694
